"","A_New_York_GKISBBBJ67178_2026","A_Virginia_GKISBBBI75227_2026","A_North_Carolina_USAFSAM_18204_2026","A_Tokyo_USAFSAM_18203_2026","A_California_USAFSAM_18202_2026","A_Texas_USAFSAM_18201_2026","A_Texas_USAFSAM_18200_2026","A_Texas_USAFSAM_18199_2026","A_Texas_USAFSAM_18198_2026","A_Texas_USAFSAM_18197_2026","A_Texas_USAFSAM_18196_2026","A_Texas_USAFSAM_18195_2026","A_Texas_USAFSAM_18194_2026","A_Texas_USAFSAM_18193_2026","A_Texas_USAFSAM_18192_2026","A_Texas_USAFSAM_18191_2026","A_Texas_USAFSAM_18190_2026","A_Texas_USAFSAM_18189_2026","A_Texas_USAFSAM_18188_2026","A_Texas_USAFSAM_18187_2026","A_Texas_USAFSAM_18186_2026","A_Texas_USAFSAM_18185_2026","A_Texas_USAFSAM_18184_2026","A_Texas_USAFSAM_18183_2026","A_Texas_USAFSAM_18182_2026","A_Texas_USAFSAM_18181_2026","A_Texas_USAFSAM_18180_2026","A_Texas_USAFSAM_18179_2026","A_Texas_USAFSAM_18178_2026","A_Texas_USAFSAM_18177_2026"
"A_Texas_USAFSAM_18196_2026",3.06546640196073,3.06546640196073,0.000588235361964851,0.00353983779403084,0.000588235361964851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588235361964851,0,0.000588235361964851,0.000588148856759583,0,0,0.000588148856759583,0,0,0,0
"A_Texas_USAFSAM_18195_2026",3.06546640196073,3.06546640196073,0.000588235361964851,0.00353983779403084,0.000588235361964851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588235361964851,0,0.000588235361964851,0.000588148856759583,0,0,0.000588148856759583,0,0,0,0
"A_Texas_USAFSAM_18194_2026",3.06546640196073,3.06546640196073,0.000588235361964851,0.00353983779403084,0.000588235361964851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588235361964851,0,0.000588235361964851,0.000588148856759583,0,0,0.000588148856759583,0,0,0,0
"A_Texas_USAFSAM_18193_2026",3.06546640196073,3.06546640196073,0.000588235361964851,0.00353983779403084,0.000588235361964851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588235361964851,0,0.000588235361964851,0.000588148856759583,0,0,0.000588148856759583,0,0,0,0
"A_Texas_USAFSAM_18192_2026",3.06546640196073,3.06546640196073,0.000588235361964851,0.00353983779403084,0.000588235361964851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588235361964851,0,0.000588235361964851,0.000588148856759583,0,0,0.000588148856759583,0,0,0,0
"A_Texas_USAFSAM_18191_2026",3.06546640196073,3.06546640196073,0.000588235361964851,0.00353983779403084,0.000588235361964851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588235361964851,0,0.000588235361964851,0.000588148856759583,0,0,0.000588148856759583,0,0,0,0
"A_Texas_USAFSAM_18190_2026",3.06546640196073,3.06546640196073,0.000588235361964851,0.00353983779403084,0.000588235361964851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588235361964851,0,0.000588235361964851,0.000588148856759583,0,0,0.000588148856759583,0,0,0,0
"A_Texas_USAFSAM_18189_2026",3.06546640196073,3.06546640196073,0.000588235361964851,0.00353983779403084,0.000588235361964851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588235361964851,0,0.000588235361964851,0.000588148856759583,0,0,0.000588148856759583,0,0,0,0
"A_Texas_USAFSAM_18188_2026",3.06546640196073,3.06546640196073,0.000588235361964851,0.00353983779403084,0.000588235361964851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588235361964851,0,0.000588235361964851,0.000588148856759583,0,0,0.000588148856759583,0,0,0,0
"A_Texas_USAFSAM_18187_2026",3.06546640196073,3.06546640196073,0,0.00294812174864075,0,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0,0.000588235361964851,0,0.00117673044326695,0.000588235361964851,0.000588235361964851,0.00117673044326695,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851
"A_Texas_USAFSAM_18186_2026",3.06546640196073,3.06546640196073,0.000588235361964851,0.00353983779403084,0.000588235361964851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588235361964851,0,0.000588235361964851,0.000588148856759583,0,0,0.000588148856759583,0,0,0,0
"A_Texas_USAFSAM_18185_2026",3.06546640196073,3.06546640196073,0,0.00294812174864075,0,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851,0,0.000588235361964851,0,0.00117673044326695,0.000588235361964851,0.000588235361964851,0.00117673044326695,0.000588235361964851,0.000588235361964851,0.000588235361964851,0.000588235361964851
"A_Texas_USAFSAM_18184_2026",3.05135948027723,3.05135948027723,0.00117673044326695,0.00413007630096208,0.00117673044326695,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.00117673044326695,0.000588148856759583,0.00117673044326695,0,0.000588148856759583,0.000588148856759583,0.00117681715237372,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583
"A_Texas_USAFSAM_18183_2026",3.06546640196073,3.06546640196073,0.000588235361964851,0.00353983779403084,0.000588235361964851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588235361964851,0,0.000588235361964851,0.000588148856759583,0,0,0.000588148856759583,0,0,0,0
"A_Texas_USAFSAM_18182_2026",3.06546640196073,3.06546640196073,0.000588235361964851,0.00353983779403084,0.000588235361964851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588235361964851,0,0.000588235361964851,0.000588148856759583,0,0,0.000588148856759583,0,0,0,0
"A_Texas_USAFSAM_18181_2026",3.05135948027723,3.05135948027723,0.00117673044326695,0.00413007630096208,0.00117673044326695,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.00117673044326695,0.000588148856759583,0.00117673044326695,0.00117681715237372,0.000588148856759583,0.000588148856759583,0,0.000588148856759583,0.000588148856759583,0.000588148856759583,0.000588148856759583
"A_Texas_USAFSAM_18180_2026",3.06546640196073,3.06546640196073,0.000588235361964851,0.00353983779403084,0.000588235361964851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588235361964851,0,0.000588235361964851,0.000588148856759583,0,0,0.000588148856759583,0,0,0,0
"A_Texas_USAFSAM_18179_2026",3.06546640196073,3.06546640196073,0.000588235361964851,0.00353983779403084,0.000588235361964851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588235361964851,0,0.000588235361964851,0.000588148856759583,0,0,0.000588148856759583,0,0,0,0
"A_Texas_USAFSAM_18178_2026",3.06546640196073,3.06546640196073,0.000588235361964851,0.00353983779403084,0.000588235361964851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588235361964851,0,0.000588235361964851,0.000588148856759583,0,0,0.000588148856759583,0,0,0,0
"A_Texas_USAFSAM_18177_2026",3.06546640196073,3.06546640196073,0.000588235361964851,0.00353983779403084,0.000588235361964851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588235361964851,0,0.000588235361964851,0.000588148856759583,0,0,0.000588148856759583,0,0,0,0
